Organization,Program,Scrum Team,Jira Project Name,Epic Fields,Initiative Fields,All other issue type other than Epic and Initiative
HPPS,Data Product Engineering,DST,HPPS Data Product Engineering,Delivery Teams,Participating TofTs,Scrum Team
HPPS,Data Product Engineering,ETL West,HPPS Data Product Engineering,Delivery Teams,Participating TofTs,Scrum Team
HPPS,Data Product Engineering,ETL East,HPPS Data Product Engineering,Delivery Teams,Participating TofTs,Scrum Team
HPPS,Data Product Engineering,LF,HPPS Data Product Engineering,Delivery Teams,Participating TofTs,Scrum Team
HPPS,Data Product Engineering,Illuminators,HPPS Data Product Engineering,Delivery Teams,Participating TofTs,Scrum Team
HPPS,Data Product Engineering,Data Forge,HPPS Data Product Engineering,Delivery Teams,Participating TofTs,Scrum Team
HPPS,Data Product Engineering,RCB Ref Tool,HPPS Data Product Engineering,Delivery Teams,Participating TofTs,Scrum Team
HPPS,Data Product Engineering,RCB (BNG),HPPS Data Product Engineering,Delivery Teams,Participating TofTs,Scrum Team
HPPS,Data Product Engineering,CASCD,HPPS Data Product Engineering,Delivery Teams,Participating TofTs,Scrum Team
HPPS,Data Product Engineering,EEDDP,HPPS Data Product Engineering,Delivery Teams,Participating TofTs,Scrum Team
HPPS,HP Smart Portals,SMB/Consolidated Portal,Account Experience,Delivery Teams,Participating TofTs,Scrum Team
HPPS,OneCloud,Defender,OneCloud Core Services,Delivery Teams,Participating TofTs,Scrum Team
HPPS,OneCloud,Spectrum,OneCloud Core Services,Delivery Teams,Participating TofTs,Scrum Team
HPPS,OneCloud,Zone Team,HPIP DevInfra,Delivery Teams,Participating TofTs,Scrum Team
HPPS,OneCloud,Maersk/KubeKrew,OneCloud Infrastructure,Delivery Teams,Participating TofTs,Scrum Team
HPPS,OneCloud,Wizards,"OneCloud Core Services,Stratus Integration & Data Services",Delivery Teams,Participating TofTs,Scrum Team
HPPS,OneCloud,LittleJohn,OneCloud Core Services,Delivery Teams,Participating TofTs,Scrum Team
HPPS,OneCloud,MaLiang,OneCloud Core Services,Delivery Teams,Participating TofTs,Scrum Team
HPPS,OneCloud,MasterPO,OneCloud Core Services,Delivery Teams,Participating TofTs,Scrum Team
HPPS,OneCloud,Inspire,OneCloud Core Services,Delivery Teams,Participating TofTs,Scrum Team
